solID,operation,target,to,where
0,Move_Operation_Component,saleStartedEvent,DataStore,
0,Move_Operation_New_Component_New_Node,queryStockItem,New-Component_mxvhfmhknz,New-Node_ukcobctpsi
0,Move_Operation_New_Component_New_Node,queryOrderById,New-Component_qptdhxerdg,New-Node_wcpacqezts
0,UMLCloneNode,CashBox,CashBox_zwbadyhtdf,
1,UMLCloneNode,StoreServer,StoreServer_sjiuxytrym,
1,Move_Operation_Component,createReport,CashDeskGUI,
1,Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_tvmlvmbjbe,New-Node_erudkukfvg
1,Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_boybpjjzkd,New-Node_hmlizwifob
2,Move_Operation_Component,saleStartedEvent,AppStore,
2,Move_Operation_New_Component_New_Node,rollInReceivedOrder,New-Component_rqyewwzpqn,New-Node_wyumedvkqn
2,UMLCloneNode,New-Node_wyumedvkqn,New-Node_wyumedvkqn_oixgndrxip,
2,Move_Component_New_Node,ScannerController,New-Node_ixnmiufexg,
3,Move_Component_New_Node,CashDeskGUI,New-Node_ivfumoknvk,
3,Move_Operation_New_Component_New_Node,getTransaction,New-Component_bblovpklyy,New-Node_rrkfqogmqt
3,UMLCloneNode,CashDeskPC,CashDeskPC_swykdqmqie,
3,Move_Operation_Component,scanProduct,CashBoxController,
4,Move_Operation_Component,getTransactionContext,PrinterController,
4,Move_Operation_New_Component_New_Node,productBarCodeScannedEvent,New-Component_julxhdbbbd,New-Node_xzjkmbunpk
4,Move_Component_New_Node,AppStore,New-Node_btujkpfqok,
4,UMLCloneNode,EnterpriseServer,EnterpriseServer_vemkmzjupb,
5,Move_Operation_New_Component_New_Node,getMeanTimeToDelivery,New-Component_zecpujurpc,New-Node_ciouatfdld
5,Move_Operation_Component,rollInReceivedOrder,CashBoxController,
5,UMLCloneNode,New-Node_ciouatfdld,New-Node_ciouatfdld_vcbeesoofx,
5,Move_Component_New_Node,GUIStore,New-Node_vzppyudead,
6,UMLCloneNode,StoreServer,StoreServer_nswafjkolr,
6,Move_Operation_New_Component_New_Node,getProductWithStockItem,New-Component_kpzffbdxwd,New-Node_jsottezlce
6,UMLCloneNode,EnterpriseServer,EnterpriseServer_ycazcwklwb,
6,Move_Operation_New_Component_New_Node,getMeanTimeToDeliveryReport,New-Component_xhyeawrbgj,New-Node_qommqnnwnp
7,Move_Component_New_Node,CashBoxController,New-Node_qaiktvhykl,
7,Move_Operation_Component,getTransactionContext,GUIStore,
7,UMLCloneNode,CashDeskPC,CashDeskPC_fkctxuzdsl,
7,UMLCloneNode,New-Node_krsrzclomj,New-Node_krsrzclomj_mpkuvyhozh,
8,Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_mwyuufbpby,New-Node_pdvsytugdb
8,Move_Operation_New_Component_New_Node,productBarCodeScannedEvent,New-Component_qgbxsdezge,New-Node_fiuisqjeme
8,Move_Operation_Component,queryStockItem,Persistence,
8,Move_Component_New_Node,Inventory,New-Node_llwgaxqvel,
9,UMLCloneNode,Printer,Printer_bwfbphzqzd,
9,Move_Component_New_Node,CashDeskApplication,New-Node_ulsawpmzph,
9,UMLCloneNode,StoreServer,StoreServer_ivnbakpdfp,
9,Move_Operation_Component,enterOrderID,Enterprise,
10,Move_Operation_New_Component_New_Node,getMeanTimeToDeliveryReport,New-Component_rvjdbmuixv,New-Node_tgyjgqvzfl
10,Move_Operation_Component,printRunningTotal,ScannerController,
10,Move_Operation_New_Component_New_Node,startSale,New-Component_nlmnevgyln,New-Node_ptqrqsnfid
10,Move_Component_New_Node,DataStore,New-Node_ulfndbnytp,
11,Move_Operation_New_Component_New_Node,queryStockItem,New-Component_etgxuetdsl,New-Node_xizesulolx
11,Move_Operation_Component,getTransactionContext,CashDeskApplication,
11,Move_Component_New_Node,GUIReporting,New-Node_ngtrnzdhnt,
11,UMLCloneNode,New-Node_xizesulolx,New-Node_xizesulolx_xziukagxmi,
12,Move_Operation_New_Component_New_Node,rollInReceivedOrder,New-Component_ssuwyafziy,New-Node_jgyqabcqfr
12,Move_Component_New_Node,ScannerController,New-Node_mfpxjfbwic,
12,Move_Operation_Component,rollInReceivedOrder,Enterprise,
12,Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_ojsxnrtqjf,New-Node_djkgpjdhth
13,Move_Component_New_Node,ScannerController,New-Node_afkfolagnz,
13,Move_Operation_Component,getMeanTimeToDeliveryReport,GUIReporting,
13,UMLCloneNode,EnterpriseServer,EnterpriseServer_koaqphmnqh,
13,Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_cmktslpofu,New-Node_nkkdnjvhan
14,Move_Component_New_Node,GUIStore,New-Node_mejwffhpbp,
14,Move_Operation_Component,getEnterpriseByID,DataStore,
14,Move_Operation_New_Component_New_Node,enterOrderID,New-Component_zxiegqkqtw,New-Node_eozbsrqdzk
14,Move_Operation_New_Component_New_Node,rollInReceivedOrder,New-Component_oupawjcwat,New-Node_ijqpmathxt
15,Move_Component_New_Node,GUIStore,New-Node_zcqhriohlf,
15,Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_qxhroggozm,New-Node_iliyihsewb
15,Move_Operation_Component,rollInReceivedOrder,GUIStore,
15,UMLCloneNode,StoreServer,StoreServer_jwhervczpo,
